フラグ,コード,歌手,タイトル,URL
E,111,美空ひばり,川の流れのように,https://www.youtube.com/watch?v=dSslJ60qBbU
E,112,美空ひばり,愛燦燦,https://www.youtube.com/watch?v=uYK1roeKZXs
E,113,美空ひばり,真赤な太陽,https://www.youtube.com/watch?v=K0ROc6JdaWQ
E,114,美空ひばり,悲しい酒,https://www.youtube.com/watch?v=wfhCdHOsYZY
E,115,美空ひばり,人生一路,https://www.youtube.com/watch?v=FF1TK_bqSR4&list=RDFF1TK_bqSR4&start_radio=1
E,116,美空ひばり,35周年記念リサイタル・武道館ライブ,https://www.youtube.com/watch?v=C_cbsuPacIQ
E,121,石川さゆり,津軽海峡・冬景色,https://www.youtube.com/watch?v=QhGJQcN70gU
E,122,石川さゆり,天城越え,https://www.youtube.com/watch?v=jVkQm4Fpui8
E,123,石川さゆり,ウイスキーが、お好きでしょ,https://www.youtube.com/watch?v=1EIfjyi9Lv0
E,124,石川さゆり,能登半島,https://www.youtube.com/watch?v=bi3jbSPHmSc
E,125,石川さゆり,風の盆恋歌,https://www.youtube.com/watch?v=EM70pP397Qo
E,126,石川さゆり,曽根崎心中（15周年記念）,https://www.youtube.com/watch?v=4fFgxnvhlLY&list=RD4fFgxnvhlLY&start_radio=1
E,127,石川さゆり,"夢～大阪つばめ 1991",https://www.youtube.com/watch?v=EHYKg-0n2q0&list=RDEHYKg-0n2q0&start_radio=1
E,128,石川さゆり,"夫婦善哉 1987",https://www.youtube.com/watch?v=fUN9-oiLcIQ&list=RDfUN9-oiLcIQ&start_radio=1
E,129,石川さゆり,"石川さゆり 2021 スタートコンサート",https://www.youtube.com/watch?v=bi3jbSPHmSc
E,131,藤圭子,圭子の夢は夜ひらく,https://www.youtube.com/watch?v=oSJhlPyVqMY
E,132,藤圭子,新宿の女,https://www.youtube.com/watch?v=47XPXt-GEac
E,133,藤圭子,命預けます,https://www.youtube.com/watch?v=tA7a9V3gU5M
E,134,藤圭子,京都から博多まで,https://www.youtube.com/watch?v=VwoJ58Xqz1c
E,135,藤圭子,女のブルース,https://www.youtube.com/watch?v=tTQB1-WowsY
E,136,藤圭子,"「藤 圭子」代表曲メドレー",https://www.youtube.com/watch?v=tTQB1-WowsY
E,137,藤圭子,"1970年 日本歌謡大賞 受賞映像",https://www.youtube.com/watch?v=iwJRp-fWP2k
E,141,北島三郎,北の漁場,https://www.youtube.com/watch?v=Bl6asXoLUYE
E,142,北島三郎,まつり,https://www.youtube.com/watch?v=VGSQxaZY9R4
E,143,北島三郎,与作,https://www.youtube.com/watch?v=R45N2MCI85g
