ID,ジャンル,分野,リンク先,URL,翻訳
111,公式機関・1次資料,1. 日本政府（防衛・外交）,内閣官房・国家安全保障戦略,https://www.cas.go.jp/jp/siryou/221216anzenhoshou.html,0
112,公式機関・1次資料,1. 日本政府（防衛・外交）,防衛省・自衛隊HP,https://www.mod.go.jp/,0
113,公式機関・1次資料,1. 日本政府（防衛・外交）,防衛省・防衛政策,https://www.mod.go.jp/j/policy/index.html,0
114,公式機関・1次資料,1. 日本政府（防衛・外交）,防衛省・令和7年度予算の概容,https://www.mod.go.jp/j/budget/yosan_gaiyo/fy2025/yosan_20250402_summary.pdf,0
115,公式機関・1次資料,1. 日本政府（防衛・外交）,外務省・外交政策,https://www.mofa.go.jp/mofaj/gaiko/index.html,0
116,公式機関・1次資料,1. 日本政府（防衛・外交）,防衛装備庁,https://www.mod.go.jp/atla/,0
121,公式機関・1次資料,2. 自衛隊（統合・陸海空）,統合幕僚監部の組織,https://www.mod.go.jp/js/about/organization.html,0
122,公式機関・1次資料,2. 自衛隊（統合・陸海空）,統合作戦司令部,https://www.mod.go.jp/jjoc/,0
123,公式機関・1次資料,2. 自衛隊（統合・陸海空）,陸上自衛隊,https://www.mod.go.jp/gsdf/,0
124,公式機関・1次資料,2. 自衛隊（統合・陸海空）,海上自衛隊,https://www.mod.go.jp/msdf/,0
125,公式機関・1次資料,2. 自衛隊（統合・陸海空）,航空自衛隊,https://www.mod.go.jp/asdf/,0
131,公式機関・1次資料,3. 国際機関（国連など）,国際連合,https://www.un.org/en/,1
132,公式機関・1次資料,3. 国際機関（国連など）,国連安全保障理事会,https://main.un.org/securitycouncil/en,1
133,公式機関・1次資料,3. 国際機関（国連など）,国連広報センター,https://www.unic.or.jp/activities/peace_security/,1
134,公式機関・1次資料,3. 国際機関（国連など）,外務省・国連外交,https://www.mofa.go.jp/mofaj/gaiko/unsc/index.html,0
135,公式機関・1次資料,3. 国際機関（国連など）,国際原子力機関（IAEA),https://www.iaea.org/,3
136,公式機関・1次資料,3. 国際機関（国連など）,欧州安全保障協力機構（OSCE),https://www.osce.org/,1
137,公式機関・1次資料,3. 国際機関（国連など）,アフリカ連合・安保理,https://au.int/en/psc,1
141,公式機関・1次資料,4. 軍事同盟（NATOなど）,北大西洋条約機構（NATO),https://www.nato.int/en,1
142,公式機関・1次資料,4. 軍事同盟（NATOなど）,CSTO・ロシア中心の軍事同盟,https://en.odkb-csto.org/,3
143,公式機関・1次資料,4. 軍事同盟（NATOなど）,上海協力機構（SCO),https://eng.sectsco.org/,1
144,公式機関・1次資料,4. 軍事同盟（NATOなど）,イスラム軍事連合（IMCTC）,https://www.imctc.org/en/Pages/default.aspx,1
145,公式機関・1次資料,4. 軍事同盟（NATOなど）,AUKAS・米英豪パートナーSP,https://www.war.gov/Spotlights/AUKUS/,4
146,公式機関・1次資料,4. 軍事同盟（NATOなど）,FPDA・五カ国防衛取極め,https://www.fivepowerdefencearrangements.org/,1
151,公式機関・1次資料,5. 国際法・人道法,国連・国際法ポータル,https://www.un.org/en/global-issues/international-law-and-justice,1
152,公式機関・1次資料,5. 国際法・人道法,国際司法裁判所（ICJ）,https://www.icj-cij.org/home,0
153,公式機関・1次資料,5. 国際法・人道法,国際刑事裁判所（ICC),https://www.icc-cpi.int/,0
154,公式機関・1次資料,5. 国際法・人道法,外務省・国際法,https://www.mofa.go.jp/mofaj/gaiko/shihai/index.html,0
155,公式機関・1次資料,5. 国際法・人道法,日本が批准している条約,https://www3.mofa.go.jp/mofaj/gaiko/treaty/index.php,0
156,公式機関・1次資料,5. 国際法・人道法,赤十字国際委員会（ICRC）,https://www.icrc.org/en/law-and-policy,1
161,公式機関・1次資料,6. 白書・公式報告書,防衛白書・令和７年版,https://www.mod.go.jp/j/press/wp/index.html,0
162,公式機関・1次資料,6. 白書・公式報告書,外交青書2025,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2025/html/index.html,0
163,公式機関・1次資料,6. 白書・公式報告書,米 国家安全保障戦略 NSS '25,https://www.whitehouse.gov/wp-content/uploads/2025/12/2025-National-Security-Strategy.pdf,2
164,公式機関・1次資料,6. 白書・公式報告書,米 国家防衛戦略 NDS '26,https://media.defense.gov/2026/Jan/23/2003864773/-1/-1/0/2026-NATIONAL-DEFENSE-STRATEGY.PDF,2
165,公式機関・1次資料,6. 白書・公式報告書,英 国家安全保障戦略 NSS '25,https://www.gov.uk/government/publications/national-security-strategy-2025-security-for-the-british-people-in-a-dangerous-world/national-security-strategy-2025-security-for-the-british-people-in-a-dangerous-world-html,1
166,公式機関・1次資料,6. 白書・公式報告書,ストックホルム平和研 25要約,https://www.sipri.org/sites/default/files/2025-06/yb25_summary_en.pdf,2
762,日本の防衛・自衛隊,1. 組織と役割,防衛省・自衛隊 公式サイト,https://www.mod.go.jp/,0
