ID,日付,種別,タイトル,本文,公開,月次,年次,原URL
NEWS001,2026-07-27,お知らせ,β版を公開しました,"MSアカデミー TAKERU のβ版を公開しました。3級「軍事と戦略」を無料でお試しいただけます。
お気づきの点は、メニューのご意見フォームからお寄せください。",1,,,
NEWS002,2026-07-27,お知らせ,ホーム画面に追加すると便利です,このアプリはホーム画面にアイコンとして追加できます。追加方法は、トップまたは「アカデミーのご案内」の「アイコンにして使う方法（必読）」からご確認ください。,1,,,
NEWS003,2026-07-27,お知らせ,ご意見・ご感想を募集しています,"アプリへのご要望や、わかりにくかったカードなど、なんでも歓迎です。
下のフォームからお気軽にお寄せください（匿名でも送れます）。

→ [ご意見フォームを開く](https://docs.google.com/forms/d/e/1FAIpQLSfz3y0RuZWcjc4wCxixVfIHoKgrbxcjIYmocfuwZ3DkVnT1ZA/viewform)",1,,,
NEWS004,2026-08-15,お知らせ,「自由研究」を公開しました,"新しいメニュー「🔬 自由研究」を公開しました。
研究者それぞれの視点で語る講座を、著者からもテーマからも探せます。

第1弾は 牧村健志「戦略視点で見た大東亜・太平洋戦争」全10話。音声つきでお聴きいただけます。

テーマの見出しを押すと、そのまま第1話が始まります。",1,,,
N0001,2026-08-14,ニュース,台湾、通信遮断を訓練,"台北では空襲警報とともに人々が避難する訓練が行われ、木曜日には初めて通信速度を意図的に低下させ、TikTokなど大容量通信を要するサービスが使えなくなる事態を再現した。台湾では毎年こうした訓練が行われているが、中国による脅威の高まりを受け、今回は通信遮断を組み合わせた点が異なる。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F14%2Ftaiwan-taipei-internet-blackout-air-raid-drill-china-threat)",1,,,https://www.theguardian.com/world/2026/aug/14/taiwan-taipei-internet-blackout-air-raid-drill-china-threat
N0002,2026-08-12,ニュース,露、北朝鮮製ミサイルで攻撃,"ゼレンスキー大統領によると、ロシア軍は北朝鮮供与の弾道ミサイルを用いて南東部ザポリージャを攻撃し、製鉄大手メチンベストの民間従業員7人が死亡、21人が負傷した。同日には中部ドニプロペトロウシク州でもロシアのドローンや砲撃により15歳の少年を含む3人が死亡した。ロシアはこの日、ミサイルやドローン、滑空爆弾でウクライナ各都市を攻撃したという。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F12%2Fukraine-war-briefing-north-korean-missiles-attack-zaporizhzhia)",1,,,https://www.theguardian.com/world/2026/aug/12/ukraine-war-briefing-north-korean-missiles-attack-zaporizhzhia
N0003,2026-08-10,ニュース,北朝鮮兵、露へ5万人派遣,"ゼレンスキー大統領は、最大5万人の北朝鮮兵がロシアに派遣されると明らかにした。7月に発表した推定3万人から増加した形で、大統領はウクライナの防空支援を韓国に呼びかけた。ウクライナ領内では北朝鮮製とみられるミサイルも発見されており、北朝鮮は今後もロシアから軍事技術の供与を受けつつ実戦経験を積んでいくとみられている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F10%2Fukraine-war-briefing-north-korea-sending-50000-troops-to-russia-zelenskyy)",1,,,https://www.theguardian.com/world/2026/aug/10/ukraine-war-briefing-north-korea-sending-50000-troops-to-russia-zelenskyy
N0004,2026-08-10,ニュース,露製油所にドローン攻撃,"ウクライナ軍がロシア領内深く、国境から約1200キロ離れたタタルスタン共和国ニジネカムスクの石油精製施設タネコを無人機で攻撃し、地元当局によると少なくとも13人が死亡、39人が負傷した。負傷者にはウズベキスタン国籍者7人も含まれるという。ウクライナ軍参謀本部は、ロシアの軍事的な継戦能力を削ぐ長距離攻撃作戦の一環だとしており、ロシア側はこれを「テロ攻撃」だと非難した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F10%2Fukraine-drone-strike-on-oil-refinery-russia)",1,,,https://www.theguardian.com/world/2026/aug/10/ukraine-drone-strike-on-oil-refinery-russia
N0005,2026-08-09,ニュース,ネタニヤフ、ガザ和平案拒否,"イスラエルのネタニヤフ首相は、米国主導の15項目からなるガザ和平案を拒否すると表明し、トランプ大統領との異例の公然たる対立となった。声明でネタニヤフ氏は「イスラエルの弱さや全戦線での撤退」をめぐる憶測に反論し、ガザ・レバノン・イランでの戦争終結に向けたイスラエル抜きの米国の圧力を批判した。ハマスが真に武装解除されるまでイスラエル国防軍は撤退しないとし、米側の提案には受け入れられる点とそうでない点があると述べた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F09%2Fisrael-rejects-us-led-15-point-gaza-peace-plan-says-netanyahu)",1,,,https://www.theguardian.com/world/2026/aug/09/israel-rejects-us-led-15-point-gaza-peace-plan-says-netanyahu
N0006,2026-08-09,ニュース,フーシ派、サウジ精製所攻撃,"イエメンの親イラン武装組織フーシ派は、サウジアラビアの製油所への攻撃を実行したと表明した。この2日前、米イスラエルによるイラン戦争を背景とした地域不安の高まりを受け、サウジアラビアはトルコ・パキスタンと防衛協定を締結したばかりだった。攻撃は、イランがホルムズ海峡再開に厳しい条件を課したと表明した直後、またアラブ首長国連邦がイランのミサイルによる自国船舶への攻撃を訴えた後に起きた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F09%2Fyemen-houthis-saudi-oil-refinery-defence-pact-iran-strait-of-hormuz)",1,,,https://www.theguardian.com/world/2026/aug/09/yemen-houthis-saudi-oil-refinery-defence-pact-iran-strait-of-hormuz
N0007,2026-08-08,ニュース,イラン、ホルムズ海峡再開拒否,"イランはホルムズ海峡の再開に向けて新たな厳しい条件を提示し、土曜時点で合意には至らなかった。イランの最高国家安全保障会議は、米国が「振る舞いを改める」まで海峡を開放しないとの声明を発表した。同日、アラブ首長国連邦は自国船舶がイランのミサイルによる攻撃を受けたと明らかにした。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F08%2Firan-issues-tough-demands-to-reopen-strait-of-hormuz-as-deal-remains-out-of-reach)

【2026-08-01〜2026-08-07】",1,,,https://www.theguardian.com/world/2026/aug/08/iran-issues-tough-demands-to-reopen-strait-of-hormuz-as-deal-remains-out-of-reach
N0008,2026-08-07,ニュース,サウジ・パキスタン・トルコ防衛協定,"サウジアラビア、パキスタン、トルコの3カ国がNATO型の相互防衛協定に署名した。イスラム世界で影響力の大きい3カ国による同盟形成で、サウジがイランと連携するフーシ派の攻撃に直面する中での動きだという。フーシ派とサウジの軍事的応酬はこの1カ月で激化しており、協定の最初の試金石はイエメン情勢になる可能性がある。木曜日にはフーシ派の攻撃で少なくとも58人のイエメン人が死亡し、近年で最も死者の多い一日となった。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F07%2Fhouthi-strikes-yemen-saudi-arabia-attacks-iran-war-middle-east-crisis)",1,,,https://www.theguardian.com/world/2026/aug/07/houthi-strikes-yemen-saudi-arabia-attacks-iran-war-middle-east-crisis
